MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367702220,2022-03-31T00:00:01,29.78763,-95.08070,0.1,226.5,340.0,JOE B WARD,,WDI4808,31,12,21,8,,57,A
671226100,2022-03-31T00:00:01,25.77626,-80.20320,3.2,143.7,511.0,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,2.5,70,A
367767250,2022-03-31T00:00:01,29.31623,-94.78829,4.5,228.1,511.0,GLEN K,,WDJ3358,52,0,0,0,0.0,52,A
338327436,2022-03-31T00:00:03,47.29634,-122.42233,0.0,360.0,511.0,COOL KAT,IMO0000000,,36,,15,3,,,B
367452810,2022-03-31T00:00:06,29.32824,-94.77391,2.6,319.2,511.0,JOHN W JOHNSON,IMO9602344,WDF4516,60,0,80,19,3.0,60,A
367616350,2022-03-31T00:00:06,31.15502,-81.49931,0.0,13.0,511.0,THE NORM,IMO0000000,WDH4306,36,,13,8,,,B
367402540,2022-03-31T00:00:03,38.39598,-85.62818,4.1,22.8,511.0,GINGER MOLLER,,WDE8186,31,15,34,10,,31,A
366919770,2022-03-31T00:00:09,48.74428,-122.49504,0.0,210.3,46.0,LYNN MARIE,IMO9253583,WDB6192,31,5,29,12,3.8,52,A
538006349,2022-03-31T00:00:09,48.48308,-125.05758,11.9,89.1,90.0,ALPHA ETHOS,IMO9723617,V7ME7,70,0,,,,70,A
367315790,2022-03-31T00:00:10,45.57350,-122.46526,9.7,308.5,308.0,LORI B,,WDD9745,31,0,17,9,,31,A
366918650,2022-03-31T00:00:00,32.08183,-81.06540,0.1,177.2,511.0,POINT CLEAR,IMO8972948,WDB6128,31,0,30,10,,52,A
311000966,2022-03-31T00:00:00,18.55833,-66.47910,17.5,274.5,274.0,KYDON,IMO8916607,C6EP8,60,0,192,27,6.4,60,A
368040430,2022-03-31T00:00:03,27.50168,-82.57269,0.6,251.2,511.0,SEA SEEKER,IMO0000000,WDK2948,36,,13,6,,,B
367375730,2022-03-31T00:00:05,29.36345,-94.90856,0.0,301.3,271.0,VICKIE GATES,,WDE6092,31,12,22,9,0.0,31,A
338410861,2022-03-31T00:00:05,47.80646,-122.39279,0.0,31.7,511.0,LILY B.,IMO0000000,,37,,8,2,,,B
316007566,2022-03-31T00:00:08,49.19279,-122.92069,0.1,239.6,511.0,PORT FRASER,,CZ3230,37,15,11,3,1.5,57,A
338424624,2022-03-31T00:00:09,29.55824,-95.02928,0.2,219.8,511.0,BILLFISHER,IMO0000000,,30,,17,5,,,B
367015950,2022-03-31T00:00:09,29.26563,-89.35339,0.0,193.8,511.0,CAPT JACK,,WDC3898,31,0,14,5,,52,A
367121850,2022-03-31T00:00:15,32.58144,-91.12419,9.5,130.3,128.0,LELAND SPEAKES,,WDD2945,31,15,45,13,,32,A
338233531,2022-03-31T00:00:15,47.62901,-122.39115,0.4,360.0,511.0,CATALYST,IMO0000000,,36,,14,4,,,B
368206360,2022-03-31T00:00:00,47.60131,-122.33908,0.0,105.2,58.0,COMMANDER,,WDM4430,40,0,43,13,1.7,40,A
368004920,2022-03-31T00:00:01,39.78632,-91.36278,4.7,7.2,511.0,SIR RICHARD,,WDJ7255,31,0,,,,31,A
219028420,2022-03-31T00:00:01,28.66703,-93.59339,9.5,129.4,129.0,TORM CORRIDO,IMO9411305,OZNT2,89,0,182,32,10.8,89,A
367774150,2022-03-31T00:00:02,30.06910,-90.90375,3.2,328.6,335.0,SCF MARINER,,WDJ4074,31,15,,,,57,A
367534010,2022-03-31T00:00:03,30.15823,-90.99730,0.1,56.5,347.0,SOPHIA GOLDING,,WDG4196,31,12,27,,,57,A
354499000,2022-03-31T00:00:04,29.18968,-94.63571,0.2,193.5,107.0,MSC ESTHI,IMO9304411,3EFU3,70,1,336,45,15.0,71,A
368926035,2022-03-31T00:00:04,38.58866,-90.20667,0.0,360.0,511.0,KIMMSWICK,,AENA,33,15,,,,33,A
368070780,2022-03-31T00:00:05,21.31383,-157.86673,0.0,287.0,511.0,RAINBOWS,IMO0000000,WDK6055,30,,0,0,,,B
368112480,2022-03-31T00:00:07,48.10715,-122.77666,1.1,360.0,511.0,JESTER,IMO0000000,WDL2486,37,,12,6,,,B
368044430,2022-03-31T00:00:08,29.76417,-95.10827,0.0,325.4,0.0,CORYELL,,WDK3354,57,12,116,34,3.1,57,A
367696750,2022-03-31T00:00:08,25.57446,-79.63322,8.5,336.7,511.0,LEAP OF FAITH,IMO0000000,WDL3426,36,,13,6,,,B
367384780,2022-03-31T00:00:08,45.58756,-122.77070,0.0,311.7,137.0,CAROLYN DOROTHY,IMO9552288,WDE6786,31,0,23,10,,52,A
367560990,2022-03-31T00:00:09,27.63564,-82.56339,0.0,226.7,176.0,ATLAS,IMO9641754,WDG6819,31,0,28,12,,52,A
367743710,2022-03-31T00:00:01,33.00909,-79.92096,0.2,253.0,158.0,ISLAND MERCHANT,IMO8971592,WDI8942,31,0,19,,,52,A
368163520,2022-03-31T00:00:01,37.16540,-89.08592,0.0,101.7,40.0,WALLER,,WDL7792,52,12,218,32,3.0,57,A
368157190,2022-03-31T00:00:09,47.64453,-122.31387,0.0,360.0,511.0,OTIS 2,IMO0000000,WDL7111,37,,14,5,,,B
367625810,2022-03-31T00:00:01,33.76800,-118.22268,1.3,171.1,170.0,VETERAN,IMO9765720,WDH5227,31,0,31,12,,52,A
368123940,2022-03-31T00:00:04,33.61557,-117.90354,0.0,360.0,511.0,REVE D'O,IMO0000000,WDL3676,36,,14,8,,,B
356436000,2022-03-31T00:00:00,26.06004,-80.13008,0.0,46.4,261.0,EVERGLORY,IMO8512889,3EPI9,70,0,225,32,13.2,70,A
369494415,2022-03-31T00:00:02,30.17030,-85.75557,0.0,279.3,1.0,CG49415,,,90,0,14,,,51,A
338361065,2022-03-31T00:00:06,47.66621,-122.38829,0.0,360.0,511.0,ESCAPE,IMO0000000,,37,,18,5,,,B
